10-26-2016 23:32:10.146,-,API,"master,0013A20040F4B037,ZIGBEE TH Reg,405E,COM3 - 9600/8/N/1/N,0"
10-26-2016 23:38:14.353,1934,RECV,7E0053910013A20040F4B037000000008032000001F300500C0C0000030000000003000000000300000000030000000003000000000300000000030000000003000000000300000000030000000003000000000300006C
10-26-2016 23:38:14.353,1935,RECV,7E00078BF300000023005E
10-26-2016 23:38:14.353,1936,SENT,7E001611F30013A20040F4B037FFFE0000003200000000F318F1
10-26-2016 23:38:14.533,1937,RECV,7E0053910013A20040F4B037000000008032000001F30050180C00000300000000030000000003000000000300000000030000000003000000000300000000030000000003000000000300000000030000000003000060
10-26-2016 23:38:14.534,1938,SENT,7E001611F30013A20040F4B037FFFE0000003200000000F324E5
10-26-2016 23:38:14.534,1939,RECV,7E00078BF300000023005E
10-26-2016 23:38:14.683,1940,RECV,7E0053910013A20040F4B037000000008032000001F30050240C00000300000000030000000003000000000300000000030000000003000000000300000000030000000003000000000300000000030000000003000054
10-26-2016 23:38:14.683,1941,RECV,7E00078BF300000023005E
10-26-2016 23:38:14.683,1942,SENT,7E001611F30013A20040F4B037FFFE0000003200000000F330D9
10-26-2016 23:38:14.853,1943,RECV,7E0053910013A20040F4B037000000008032000001F30050300C00000300000000030000000003000000000300000000030000000003000000000300000000030000000003000000000300000000030000000003000048
10-26-2016 23:38:14.853,1944,RECV,7E00078BF300000023005E
10-26-2016 23:38:14.853,1945,SENT,7E001611F30013A20040F4B037FFFE0000003200000000F33CCD
10-26-2016 23:38:15.033,1946,RECV,7E0053910013A20040F4B037000000008032000001F300503C0C0000030000000003000000000300000000030000000003000000000300000000030000000003000000000300000000030000000003000000000300003C
10-26-2016 23:38:15.033,1947,SENT,7E001611F30013A20040F4B037FFFE0000003200000000F348C1
10-26-2016 23:38:15.033,1948,RECV,7E00078BF300000023005E
10-26-2016 23:38:15.153,1949,RECV,7E003F910013A20040F4B037000000008032000001F3005048080000030000000003000000000300000000030000000003000000000300000000030000000003000040
10-26-2016 23:38:15.163,1950,RECV,7E00078BF300000023005E
10-26-2016 23:38:15.244,1951,SENT,7E001611F40013A20040F4B037FFFE0000003100000000F40008
10-26-2016 23:38:15.333,1952,RECV,7E0017910013A20040F4B037000000008031000001F400000000F8
10-26-2016 23:38:15.333,1953,RECV,7E00078BF400000023005D
10-26-2016 23:38:15.334,1954,SENT,7E001611F40013A20040F4B037FFFE0000003100000000F40008
10-26-2016 23:38:15.443,1955,RECV,7E0017910013A20040F4B037000000008031000001F400000000F8
10-26-2016 23:38:15.443,1956,RECV,7E00078BF400000023005D
10-26-2016 23:38:15.443,1957,SENT,7E001611F40013A20040F4B037FFFE0000003100000000F40008
10-26-2016 23:38:15.553,1958,RECV,7E0017910013A20040F4B037000000008031000001F400000000F8
10-26-2016 23:38:15.553,1959,RECV,7E00078BF400000023005D
10-26-2016 23:38:15.553,1960,SENT,7E001611F40013A20040F4B037FFFE0000003100000000F40008
10-26-2016 23:38:15.633,1961,RECV,7E0017910013A20040F4B037000000008031000001F400000000F8
10-26-2016 23:38:15.633,1962,SENT,7E001611F40013A20040F4B037FFFE0000003100000000F40008
10-26-2016 23:38:15.643,1963,RECV,7E00078BF400000023005D
10-26-2016 23:38:15.713,1964,RECV,7E0017910013A20040F4B037000000008031000001F400000000F8
10-26-2016 23:38:15.713,1965,SENT,7E001611F40013A20040F4B037FFFE0000003100000000F40008
10-26-2016 23:38:15.723,1966,RECV,7E00078BF400000023005D
10-26-2016 23:38:15.793,1967,RECV,7E0017910013A20040F4B037000000008031000001F400000000F8
10-26-2016 23:38:15.793,1968,SENT,7E001611F40013A20040F4B037FFFE0000003100000000F40008
10-26-2016 23:38:15.803,1969,RECV,7E00078BF400000023005D
10-26-2016 23:38:15.873,1970,RECV,7E0017910013A20040F4B037000000008031000001F400000000F8
10-26-2016 23:38:15.873,1971,SENT,7E001611F40013A20040F4B037FFFE0000003100000000F40008
10-26-2016 23:38:15.883,1972,RECV,7E00078BF400000023005D
10-26-2016 23:38:15.953,1973,RECV,7E0017910013A20040F4B037000000008031000001F400000000F8
10-26-2016 23:38:15.953,1974,SENT,7E001611F40013A20040F4B037FFFE0000003100000000F40008
10-26-2016 23:38:15.963,1975,RECV,7E00078BF400000023005D
10-26-2016 23:38:16.033,1976,RECV,7E0017910013A20040F4B037000000008031000001F400000000F8
10-26-2016 23:38:16.033,1977,SENT,7E001611F40013A20040F4B037FFFE0000003100000000F40008
10-26-2016 23:38:16.043,1978,RECV,7E00078BF400000023005D
10-26-2016 23:38:16.113,1979,RECV,7E0017910013A20040F4B037000000008031000001F400000000F8
10-26-2016 23:38:16.113,1980,SENT,7E001611F40013A20040F4B037FFFE0000003100000000F40008
10-26-2016 23:38:16.123,1981,RECV,7E00078BF400000023005D
10-26-2016 23:38:16.233,1982,RECV,7E0017910013A20040F4B037000000008031000001F400000000F8
